metabolite_name;Human.Metabolome.Database;KEGG;InChIKey;Formula;Molecular.Weight;RT..min.;mzCloud.Best.Match;mzCloud.Library.Match..Autoprocessed;mzCloud.Library.Match..Reference;MS2
(+)-Calycanthine;(+)-Calycanthine;HMDB0029561;C10573;XSYCDVWYEVUDKQ-UHFFFAOYSA-N;C22 H26 N4;346.21418;11.236;NA;No matches found;No matches found;No MS2
(±)-2,6-Dimethyl-5-heptenal;(±)-2,6-Dimethyl-5-heptenal;HMDB0031834;NA;YGFGZTXGYTUXBA-UHFFFAOYSA-N;C6 H14 S2;150.05422;1.421;NA;No matches found;No matches found;No MS2
(±)-2-Hydroxy-4-(methylthio)butanoic acid;(±)-2-Hydroxy-4-(methylthio)butanoic acid;HMDB0037115;NA;ONFOSYPQQXJWGS-UHFFFAOYSA-N;C5 H10 O3 S;150.03491;5.43;86.9;No matches found;Single match found;DDA for preferred ion
(±)-Camphoric acid;(±)-Camphoric acid;HMDB0034491;NA;LSPHULWDVZXLIL-UHFFFAOYSA-N;C10 H14 O4;198.08918;9.857;69.3;No matches found;Single match found;DDA for preferred ion
(±)-Furaneol;(±)-Furaneol;HMDB0040594;NA;INAXVXBDKKUCGI-UHFFFAOYSA-N;C6 H8 O3;128.0473;6.948;NA;No matches found;No matches found;No MS2
(2S)-2-[(2-Methyl-2-sulfanylpropanoyl)amino]-3-sulfanylpropanoic acid;(2S)-2-[(2-Methyl-2-sulfanylpropanoyl)amino]-3-sulfanylpropanoic acid;NA;NA;VUAFHZCUKUDDBC-SCSAIBSYSA-N;C7 H13 N O3 S2;223.03362;7.777;NA;No matches found;No matches found;DDA for preferred ion
(R)-3-Hydroxy myristic acid;(R)-3-Hydroxy myristic acid;NA;NA;ATRNZOYKSNPPBF-CYBMUJFWSA-N;C14 H28 O3;244.20369;13.145;92.5;No matches found;Multiple matches found;DDA for preferred ion
(R)-3-hydroxybutyrylcarnitine;(R)-3-hydroxybutyrylcarnitine;HMDB0062735;NA;UEFRDQSMQXDWTO-YGPZHTELSA-N;C11 H21 N O5;247.14173;1.792;NA;No matches found;No matches found;No MS2
(R)-3-Hydroxydecanoic acid;(R)-3-Hydroxydecanoic acid;HMDB0010725;NA;FYSSBMZUBSBFJL-SECBINFHSA-N;C10 H20 O3;188.14122;11.839;89.2;No matches found;Multiple matches found;DDA for preferred ion
(S)-10,16-Dihydroxyhexadecanoic acid;(S)-10,16-Dihydroxyhexadecanoic acid;HMDB0037798;C08285;VJZBXAQGWLMYMS-UHFFFAOYSA-N;C16 H32 O4;288.23023;12.004;NA;No matches found;No matches found;DDA for preferred ion
(S)-9-Hydroxy-10-undecenoic acid;(S)-9-Hydroxy-10-undecenoic acid;HMDB0032662;NA;CJUFNYIRKDOQMC-UHFFFAOYSA-N;C11 H20 O3;200.14127;11.968;NA;No matches found;No matches found;No MS2
1-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-3,5-heptanediol;1-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-3,5-heptanediol;HMDB0041091;NA;UEKHBUNMFZUBFK-UHFFFAOYSA-N;C22 H30 O7;406.19889;11.462;NA;No matches found;No matches found;No MS2
1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose;1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose;HMDB0034879;NA;ZAWLGBRDVQURAK-UHFFFAOYSA-N;C12 H24 N2 O7;308.15807;0.753;NA;No matches found;No matches found;No MS2
10-HDA;10-HDA;NA;NA;QHBZHVUGQROELI-SOFGYWHQSA-N;C10 H18 O3;186.12554;11.499;79.4;No matches found;Single match found;DDA for preferred ion
10-Nitrolinoleic acid;10-Nitrolinoleic acid;HMDB0005049;C13800 ;LELVHAQTWXTCLY-XYWKCAQWSA-N;C18 H31 N O4;325.22536;13.733;77.9;No matches found;Single match found;DDA for preferred ion
11,12-Epoxyeicosatrienoic acid;11,12-Epoxyeicosatrienoic acid;HMDB0004673;NA;DXOYQVHGIODESM-KROJNAHFSA-N;C20 H32 O3;320.23504;13.202;90.7;Multiple matches found;Multiple matches found;DDA for preferred ion
11-Aminoundecanoic acid;11-Aminoundecanoic acid;NA;C19325;GUOSQNAUYHMCRU-UHFFFAOYSA-N;C11 H23 N O2;201.17281;1.633;NA;No matches found;No matches found;No MS2
